task_set,method,encoding,count
all8,kinematic_svm,kinematic,25
all8,lpq_selected,altitude,4
all8,lpq_selected,azimuth,5
all8,lpq_selected,pressure,1
all8,lpq_selected,pressure_altitude_azimuth,4
all8,lpq_selected,speed_altitude_azimuth,3
all8,lpq_selected,speed_pressure_altitude,3
all8,lpq_selected,speed_pressure_azimuth,4
all8,lpq_selected,static,1
all8,lpq_static,static,25
all8,resnet18_transfer,altitude,4
all8,resnet18_transfer,pressure,2
all8,resnet18_transfer,speed,1
all8,resnet18_transfer,speed_altitude_azimuth,1
all8,resnet18_transfer,speed_pressure_azimuth,16
all8,resnet18_transfer,static,1
literature_T234,kinematic_svm,kinematic,25
literature_T234,lpq_selected,altitude,1
literature_T234,lpq_selected,pressure,4
literature_T234,lpq_selected,pressure_altitude_azimuth,8
literature_T234,lpq_selected,speed_altitude_azimuth,2
literature_T234,lpq_selected,speed_pressure_altitude,4
literature_T234,lpq_selected,speed_pressure_azimuth,4
literature_T234,lpq_selected,static,2
literature_T234,lpq_static,static,25
literature_T234,resnet18_transfer,altitude,3
literature_T234,resnet18_transfer,azimuth,2
literature_T234,resnet18_transfer,pressure,1
literature_T234,resnet18_transfer,speed,4
literature_T234,resnet18_transfer,speed_pressure_azimuth,14
literature_T234,resnet18_transfer,static,1
