task_set,method,endpoint,macro_f1_mean,ci_low,ci_high,n_subjects,balanced_accuracy,accuracy,sensitivity_pd,specificity_h,f1_pd,roc_auc
literature_T234,lpq_static,task_mean,0.581496065801422,0.5068271390697008,0.652055786033656,75,0.5833807491702229,0.5840000000000001,0.536936936936937,0.6298245614035088,0.558043382183514,0.5881460407776197
all8,lpq_static,task_mean,0.5619582438995225,0.5126648949939816,0.6079091344816908,75,0.5640533625730993,0.5642638888888889,0.5479166666666667,0.5801900584795321,0.5519291971166354,0.5716362469926066
literature_T234,lpq_selected,task_mean,0.5772683957405808,0.5014398125740815,0.6494413026398373,75,0.5790184921763869,0.5795555555555556,0.5387387387387387,0.6192982456140351,0.5573214183510669,0.587339971550498
all8,lpq_selected,task_mean,0.5617827288241941,0.5114934074087579,0.6080270567206898,75,0.5647729966808914,0.5648333333333333,0.5581644144144144,0.5713815789473684,0.5563509670654383,0.5809369127899829
literature_T234,kinematic_svm,task_mean,0.6073575590342036,0.5428925783818341,0.6680071566870036,75,0.6086059743954482,0.6088888888888889,0.5873873873873874,0.6298245614035088,0.5960598417380397,0.6484115694642011
all8,kinematic_svm,task_mean,0.5676040321548775,0.5205131422881963,0.612296163320168,75,0.5712082147937411,0.5712916666666666,0.5437687687687688,0.5986476608187135,0.5527503713415758,0.5921127542015701
literature_T234,resnet18_transfer,task_mean,0.5710307766273763,0.5035535976646434,0.6344525218833728,75,0.5722380275011855,0.5724444444444445,0.5567567567567567,0.587719298245614,0.5594406934225612,0.5754385964912281
all8,resnet18_transfer,task_mean,0.5812568376908842,0.5304580379993715,0.6285174195799831,75,0.5823790896159318,0.5823333333333334,0.5795608108108109,0.5851973684210525,0.5762787410583082,0.5893847795163585
all8,kinematic_svm,participant_fusion,0.5941044716210542,0.5056822096526855,0.6771373139806443,75,0.5948790896159316,0.5946666666666667,0.6108108108108109,0.5789473684210525,0.5975379665379665,0.655049786628734
all8,lpq_selected,participant_fusion,0.6166424147459489,0.5284097656103509,0.6992898721933494,75,0.6196301564722617,0.6186666666666667,0.6918918918918919,0.5473684210526315,0.640165963689712,0.6536984352773827
all8,lpq_static,participant_fusion,0.6330208105557584,0.5434631952066304,0.7191072849875775,75,0.6354907539118064,0.6346666666666667,0.6972972972972972,0.5736842105263158,0.6511206385285627,0.6541963015647225
all8,resnet18_transfer,participant_fusion,0.6224578966387757,0.5331641342567083,0.7047816702075417,75,0.6248933143669986,0.624,0.6918918918918918,0.5578947368421052,0.6446220240601221,0.6760312944523471
literature_T234,kinematic_svm,participant_fusion,0.6279433573038092,0.5409160773232817,0.7106426697790786,75,0.6286628733997155,0.6293333333333333,0.5783783783783784,0.6789473684210525,0.6063022726392103,0.6690611664295875
literature_T234,lpq_selected,participant_fusion,0.6449229251582025,0.5501772358226773,0.733993305011707,75,0.6472261735419631,0.648,0.5891891891891893,0.7052631578947368,0.6213646326616028,0.6139402560455192
literature_T234,lpq_static,participant_fusion,0.6142633120442056,0.5194282036613841,0.704894389623148,75,0.6152916073968706,0.616,0.5621621621621622,0.6684210526315789,0.590589468471389,0.6253200568990043
literature_T234,resnet18_transfer,participant_fusion,0.6021035661446621,0.5136435448404022,0.687339492146993,75,0.6024182076813657,0.6026666666666667,0.5837837837837838,0.6210526315789474,0.5917027417027417,0.6148648648648649
