task_set,endpoint,candidate,reference,delta_macro_f1,ci_low,ci_high,permutation_p,holm_p,supported_holm_0_05,family_size
literature_T234,task_mean,lpq_selected,lpq_static,-0.0042276700608413565,-0.034369291345728734,0.027151905398544604,0.7874212578742126,1.0,False,6
literature_T234,task_mean,kinematic_svm,lpq_static,0.025861493232781595,-0.05576176765106096,0.10712594713249186,0.5461453854614539,1.0,False,6
literature_T234,task_mean,resnet18_transfer,lpq_static,-0.010465289174045584,-0.06574334295705386,0.04199844301069588,0.7091290870912909,1.0,False,6
literature_T234,task_mean,kinematic_svm,lpq_selected,0.030089163293622944,-0.052028312871327524,0.11228730903985783,0.48665133486651335,1.0,False,6
literature_T234,task_mean,resnet18_transfer,lpq_selected,-0.006237619113204229,-0.06138792285490311,0.047764973811384615,0.8197180281971803,1.0,False,6
literature_T234,task_mean,resnet18_transfer,kinematic_svm,-0.036326782406827185,-0.11695784768391793,0.04609116751365607,0.38506149385061494,1.0,False,6
all8,task_mean,lpq_selected,lpq_static,-0.00017551507532839045,-0.019060578446505595,0.018871851223216392,0.9839016098390161,1.0,False,6
all8,task_mean,kinematic_svm,lpq_static,0.0056457882553549625,-0.048543985754522,0.059309343650319896,0.8397160283971603,1.0,False,6
all8,task_mean,resnet18_transfer,lpq_static,0.019298593791361666,-0.013952726277352976,0.05280706559509054,0.25517448255174485,1.0,False,6
all8,task_mean,kinematic_svm,lpq_selected,0.00582130333068335,-0.04981824718495055,0.06029136506460791,0.8417158284171583,1.0,False,6
all8,task_mean,resnet18_transfer,lpq_selected,0.019474108866690057,-0.015177317312944236,0.05431670607493146,0.2666733326667333,1.0,False,6
all8,task_mean,resnet18_transfer,kinematic_svm,0.013652805536006707,-0.044191448166540186,0.07132894169628036,0.652034796520348,1.0,False,6
literature_T234,participant_fusion,lpq_selected,lpq_static,0.03065961311399674,-0.010711239308963437,0.07481275782138888,0.18148185181481852,1.0,False,6
literature_T234,participant_fusion,kinematic_svm,lpq_static,0.0136800452596036,-0.09264941193607971,0.1181122242659881,0.8042195780421958,1.0,False,6
literature_T234,participant_fusion,resnet18_transfer,lpq_static,-0.012159745899543628,-0.08493958553251703,0.06158418932127556,0.7551244875512448,1.0,False,6
literature_T234,participant_fusion,kinematic_svm,lpq_selected,-0.01697956785439314,-0.11825857023855792,0.0836406409544397,0.7577242275772422,1.0,False,6
literature_T234,participant_fusion,resnet18_transfer,lpq_selected,-0.04281935901354037,-0.1150523678582653,0.030543655187200768,0.2576742325767423,1.0,False,6
literature_T234,participant_fusion,resnet18_transfer,kinematic_svm,-0.02583979115914723,-0.1339112309202929,0.08646820539810969,0.6564343565643436,1.0,False,6
all8,participant_fusion,lpq_selected,lpq_static,-0.016378395809809643,-0.05480904568566738,0.020749167706293908,0.3862613738626137,1.0,False,6
all8,participant_fusion,kinematic_svm,lpq_static,-0.038916338934704364,-0.14992929528670002,0.06811768767474238,0.5013498650134987,1.0,False,6
all8,participant_fusion,resnet18_transfer,lpq_static,-0.01056291391698283,-0.08484466934785773,0.0625181024231269,0.7767223277672233,1.0,False,6
all8,participant_fusion,kinematic_svm,lpq_selected,-0.02253794312489472,-0.12480206196228653,0.0800435748691621,0.6805319468053195,1.0,False,6
all8,participant_fusion,resnet18_transfer,lpq_selected,0.005815481892826812,-0.07245295162791207,0.08457118198940564,0.8858114188581142,1.0,False,6
all8,participant_fusion,resnet18_transfer,kinematic_svm,0.028353425017721534,-0.0832500120467668,0.1399163772909315,0.6263373662633737,1.0,False,6
