task_set,method,task_id,macro_f1,balanced_accuracy,accuracy,sensitivity_pd,specificity_h,f1_pd,roc_auc
all8,kinematic_svm,1,0.5073654795327316,0.525,0.525,0.35555555555555557,0.6944444444444444,0.4279218239281546,0.5171296296296296
all8,kinematic_svm,2,0.6381422929565612,0.6393314366998577,0.64,0.5891891891891892,0.6894736842105263,0.616294079927497,0.7120910384068279
all8,kinematic_svm,3,0.6661929982586076,0.6665007112375533,0.6666666666666667,0.654054054054054,0.6789473684210526,0.6587016628328813,0.7118065433854908
all8,kinematic_svm,4,0.517737385887442,0.5199857752489331,0.52,0.518918918918919,0.5210526315789473,0.513183782453741,0.5213371266002845
all8,kinematic_svm,5,0.5062097007354609,0.5069701280227596,0.5066666666666666,0.5297297297297298,0.4842105263157895,0.5141185127011927,0.4874822190611664
all8,kinematic_svm,6,0.5490523763277909,0.5494310099573257,0.5493333333333333,0.5567567567567567,0.5421052631578946,0.5483429648937941,0.5687055476529161
all8,kinematic_svm,7,0.47729219989962945,0.48271692745376954,0.48266666666666663,0.4864864864864865,0.4789473684210527,0.47296267724926633,0.49544807965860593
all8,kinematic_svm,8,0.6788398236407964,0.6797297297297298,0.6799999999999999,0.6594594594594595,0.7,0.670477466746079,0.7229018492176388
all8,lpq_selected,1,0.6327478620089078,0.6333333333333333,0.6333333333333333,0.6166666666666667,0.65,0.6269177093834628,0.6725308641975308
all8,lpq_selected,2,0.5406938010016848,0.545448079658606,0.5466666666666666,0.454054054054054,0.6368421052631579,0.4956052501221394,0.5692745376955903
all8,lpq_selected,3,0.5614430821796804,0.5630867709815078,0.5626666666666666,0.5945945945945945,0.531578947368421,0.5701631183230993,0.5660028449502134
all8,lpq_selected,4,0.6041945689873397,0.6068990042674253,0.608,0.5243243243243244,0.6894736842105263,0.5686665961592614,0.6231863442389758
all8,lpq_selected,5,0.5340295502799262,0.536344238975818,0.536,0.5621621621621622,0.5105263157894736,0.5435767203448676,0.5146514935988621
all8,lpq_selected,6,0.5361926696749012,0.5391180654338549,0.5386666666666666,0.572972972972973,0.5052631578947369,0.5491768741997053,0.5883357041251778
all8,lpq_selected,7,0.5077112755884443,0.5149359886201992,0.5146666666666666,0.5351351351351352,0.4947368421052632,0.510904146104247,0.508108108108108
all8,lpq_selected,8,0.577249020872669,0.5790184921763869,0.5786666666666667,0.6054054054054054,0.5526315789473684,0.5857973218867235,0.6054054054054054
all8,lpq_static,1,0.5845596086909091,0.586111111111111,0.586111111111111,0.5833333333333334,0.5888888888888889,0.5840841866848154,0.5905864197530865
all8,lpq_static,2,0.5505182480752329,0.553769559032717,0.5546666666666666,0.4864864864864865,0.6210526315789474,0.5155319068188032,0.5435277382645805
all8,lpq_static,3,0.586029980979878,0.5864153627311521,0.5866666666666667,0.5675675675675675,0.6052631578947368,0.5748393223600632,0.6064011379800853
all8,lpq_static,4,0.6079399683491552,0.6099573257467994,0.6106666666666667,0.5567567567567567,0.6631578947368422,0.5837589173716755,0.6145092460881936
all8,lpq_static,5,0.5587737701974701,0.5639402560455192,0.5626666666666666,0.6594594594594595,0.46842105263157896,0.5973220171259387,0.5520625889046942
all8,lpq_static,6,0.5232392428225541,0.5253200568990042,0.5253333333333334,0.5243243243243243,0.5263157894736843,0.5196543572485786,0.544950213371266
all8,lpq_static,7,0.5225798493604434,0.5244665718349929,0.5253333333333334,0.4594594594594595,0.5894736842105264,0.4877894248125868,0.5327169274537696
all8,lpq_static,8,0.5620252827205379,0.5624466571834994,0.5626666666666666,0.5459459459459459,0.5789473684210527,0.5524534445106214,0.5883357041251778
all8,resnet18_transfer,1,0.5983879688122895,0.6,0.6,0.55,0.65,0.5782021753888448,0.6
all8,resnet18_transfer,2,0.53446083699093,0.5354907539118066,0.536,0.49729729729729727,0.5736842105263158,0.5125855359339744,0.5817923186344239
all8,resnet18_transfer,3,0.5456703376060659,0.546443812233286,0.5466666666666666,0.5297297297297298,0.5631578947368421,0.5342323199302605,0.5314366998577524
all8,resnet18_transfer,4,0.6246174360585999,0.6270981507823613,0.6266666666666667,0.6594594594594595,0.5947368421052632,0.6314680024642495,0.6321479374110953
all8,resnet18_transfer,5,0.5772165159570727,0.5787339971550498,0.5786666666666667,0.5837837837837838,0.5736842105263158,0.5752845100663022,0.5793741109530584
all8,resnet18_transfer,6,0.5917328940542197,0.5919630156472262,0.592,0.5891891891891892,0.5947368421052632,0.5875247998183506,0.6153627311522049
all8,resnet18_transfer,7,0.5887995022946922,0.589900426742532,0.5893333333333333,0.6324324324324324,0.5473684210526316,0.602972554871289,0.5692745376955903
all8,resnet18_transfer,8,0.589169209753204,0.589402560455192,0.5893333333333334,0.5945945945945945,0.5842105263157895,0.5879600299931951,0.6056899004267425
literature_T234,kinematic_svm,2,0.6381422929565612,0.6393314366998577,0.64,0.5891891891891892,0.6894736842105263,0.616294079927497,0.7120910384068279
literature_T234,kinematic_svm,3,0.6661929982586076,0.6665007112375533,0.6666666666666667,0.654054054054054,0.6789473684210526,0.6587016628328813,0.7118065433854908
literature_T234,kinematic_svm,4,0.517737385887442,0.5199857752489331,0.52,0.518918918918919,0.5210526315789473,0.513183782453741,0.5213371266002845
literature_T234,lpq_selected,2,0.5432059194858067,0.5458748221906117,0.5466666666666666,0.4864864864864865,0.6052631578947368,0.512659799808268,0.5695590327169275
